applicant_ID,applicant_score,density
191,1.6241877244136687,22
192,1.6224354624237651,27
193,1.6206852625248407,21
194,1.6189371220882207,32
195,1.6171910384888437,31
196,1.6154470091052557,38
197,1.6137050313195886,25
198,1.6119651025175763,26
199,1.6102272200885384,19
200,1.6084913814253765,23
201,1.6067575839245634,26
202,1.6050258249861478,18
203,1.6032961020137504,14
204,1.6015684124145382,15
205,1.5998427535992448,23
206,1.5981191229821523,20
207,1.59639751798109,25
208,1.5946779360174193,15
209,1.5929603745160437,22
210,1.591244830905396,16
211,1.5895313026174278,16
212,1.5878197870876143,19
213,1.5861102817549466,19
214,1.584402784061922,22
215,1.5826972914545396,23
216,1.5809938013822997,17
217,1.5792923112981962,15
218,1.5775928186587156,17
219,1.5758953209238133,18
220,1.5741998155569394,11
221,1.5725063000250123,16
222,1.570814771798408,12
223,1.5691252283509791,10
224,1.5674376671600294,8
225,1.5657520857063183,11
226,1.5640684814740464,10
227,1.5623868519508632,13
228,1.5607071946278595,9
229,1.5590295069995441,14
230,1.5573537865638682,10
231,1.555680030822197,9
232,1.5540082372793187,15
233,1.5523384034434262,18
234,1.550670526826128,14
235,1.549004604942432,8
236,1.54734063531074,8
237,1.5456786154528501,10
238,1.5440185428939484,5
239,1.5423604151626054,17
240,1.5407042297907587,9
241,1.5390499843137313,5
242,1.5373976762702084,9
243,1.5357473032022348,8
244,1.5340988626552186,3
245,1.532452352177919,8
246,1.530807769322446,7
247,1.5291651116442435,5
248,1.527524376702101,11
249,1.5258855620581475,6
250,1.5242486652778229,4
251,1.5226136839299071,10
252,1.5209806155864902,7
253,1.519349457822983,5
254,1.5177202082180958,6
255,1.51609286435385,3
256,1.514467423815568,4
257,1.512843884191858,3
258,1.511222243074626,6
259,1.509602498059061,10
260,1.5079846467436342,5
261,1.5063686867300834,7
262,1.504754615623425,5
263,1.503142431031944,6
264,1.5015321305671752,5
265,1.4999237118439182,10
266,1.4983171724802238,4
267,1.4967125100973884,4
268,1.4951097223199452,3
269,1.4935088067756712,6
270,1.4919097610955752,2
271,1.4903125829138952,6
272,1.488717269868083,6
273,1.4871238195988197,2
274,1.4855322297499967,4
275,1.4839424979687101,2
276,1.4823546219052643,5
277,1.4807685992131665,5
278,1.479184427549115,0
279,1.477602104572994,7
280,1.4760216279478817,2
281,1.474442995340035,4
282,1.4728662044188832,2
283,1.4712912528570297,1
284,1.469718138330247,4
285,1.4681468585174706,0
286,1.4665774111007877,4
287,1.4650097937654445,5
288,1.4634440041998384,8
289,1.4618800400955008,1
290,1.4603178991471109,2
291,1.4587575790524823,3
292,1.4571990775125592,2
293,1.4556423922314032,2
294,1.4540875209162092,2
295,1.452534461277285,1
296,1.4509832110280434,3
297,1.449433767885014,2
298,1.4478861295678263,3
299,1.4463402937992107,0
300,1.4447962583049838,0
301,1.4432540208140594,3
302,1.4417135790584383,3
303,1.4401749307731917,0
304,1.438638073696477,1
305,1.4371030055695178,0
306,1.4355697241366103,3
307,1.4340382271451046,1
308,1.4325085123454173,1
309,1.430980577491017,1
310,1.429454420338416,1
311,1.4279300386471792,1
312,1.4264074301799075,0
313,1.4248865927022436,2
314,1.42336752398285,1
315,1.421850221793429,0
316,1.4203346839087019,1
317,1.4188209081064032,0
318,1.4173088921672878,1
319,1.4157986338751183,0
320,1.4142901310166653,1
321,1.4127833813816932,0
